מוסד,רשות,מחוז תקשוב,מגזר,שם מפקח,שם מנהל,תחום,מספר כיתות בשכבה,מספר תלמידים בשכבה,תלמידים שביצעו משימה אחת לפחות,ממוצע משימות לתלמיד,תלמידים שכלל לא ביצעו משימות,ממוצע משימות לתלמיד- כלל שכבתי
440685-בית שכונת זגיר,ירושלים,העיר ירושלים,ערבי,ח'לדון האדיה,רבא ארנאוט,מתמטיקה,2,70,0,0.0,70,0.00
440693-אלראזי,ירושלים,העיר ירושלים,ערבי,ענאן קאסם,באסם דוויק,מתמטיקה,2,68,0,0.0,68,0.00
"440784-ראס אלעמוד ע""ס לבנות",ירושלים,העיר ירושלים,ערבי,רנה ח'לף,אריג' ארנאוט,מתמטיקה,5,111,21,1.0,90,0.19
"442780-אמי""ת בנות מודיעין",מודיעין מכבים רעות,ירושלים,יהודי,תמר אודס,ליאת כהן וגשל,מתמטיקה,6,135,119,27.4,16,24.19
442822-ברנקו וייס עין נקובה,מטה יהודה,ירושלים,ערבי,ציפי יעקב,איהאב אלזיאדנה,מתמטיקה,4,84,61,3.4,23,2.46
442855-הרטמן בנות,ירושלים,העיר ירושלים,יהודי,שרה טוויל,מיכל הרטמן,מתמטיקה,3,89,57,4.0,32,2.57
"450270-אמי""ת בנים מודיעין",מודיעין מכבים רעות,ירושלים,יהודי,תמר אודס,ליאור שמעון צ'קוטאי,מתמטיקה,4,117,94,4.4,23,3.50
460667-אולפנת אהבת ישראל,בית שמש,ירושלים,יהודי,תמר אודס,ורדית כהנא,מתמטיקה,2,65,64,33.1,1,32.63
477901-מקיף בית חנינה לבנות,ירושלים,העיר ירושלים,ערבי,ענאן קאסם,ליאנא האשם,מתמטיקה,6,163,31,7.5,132,1.42
478909-בית ספר יסודי נור אל,ירושלים,העיר ירושלים,ערבי,מחמד אזברגה,נדאא אבו כף,מתמטיקה,1,20,0,0.0,20,0.00
"499897-בי""ס אשרקאת אלג'ד",ירושלים,העיר ירושלים,ערבי,ענאן קאסם,מאגדה אבראהים חדר,מתמטיקה,1,36,0,0.0,36,0.00
